,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
M-MHT1147,171470,44678,6038113,26,49718,65869,3521157,2275,6024,777802,53152,2751,1220648,40105,23970,57704,8336,6276,157631,1683607,106401,23617,229652,112134,23776,48296,69996
M-MHT1148,296552,86442,6642169,200,61203,81014,3296166,1926,11963,847573,47933,2980,1422134,23760,57833,66946,7197,4140,153598,1220785,110077,56340,105986,112689,24783,47573,87138
M-MHT1149,349089,72097,8958592,2079,74248,79702,4517511,5018,6512,1265365,67569,3287,2264013,44253,71395,82953,10761,6886,196017,1416223,142938,98263,84591,170871,38571,51049,198509
M-MHT1150,237138,59166,9674213,45,58805,83046,5522555,7683,4634,1029358,90394,3635,3032499,23879,61359,99175,10420,9133,159638,1910447,196253,48554,142604,208755,44260,61031,191548
QC1,268707,66301,9571412,169,73162,89262,4765121,3009,3760,1103556,87433,3108,2361438,17660,103235,72131,10232,7843,103843,1446952,103448,107487,94071,121181,35779,50066,204073
QC2,285736,82108,9448720,1610,63038,91445,4904674,3043,5068,1191080,101781,3767,2749245,17923,82888,87743,11922,9307,145547,1693264,110919,132413,124110,146579,31974,66236,219578
QC1,278393,68661,9956509,1148,74466,93064,4958629,3633,3943,1145884,87400,3059,2449693,17747,105248,74970,10404,8065,106943,1504749,106443,107052,93920,121285,35706,52725,212446
QC2,271676,77825,8917697,456,54159,85027,4575971,2161,4102,1110467,83571,3660,2615256,19765,77541,89103,11955,8199,131329,1565392,106931,126952,108337,129922,27672,60168,201243
QC1,342230,90970,14827442,32392,125378,153499,7666832,51587,7940,1607698,134903,20069,3187737,23942,149138,107452,21433,17492,175759,1897630,169936,150802,156726,215238,53743,64056,269894
QC2,289846,82493,10385817,79256,61578,105270,5598799,8838,5495,1303426,95747,1271,2816212,16735,83085,85504,17793,14203,170021,1810357,120634,143192,161381,174532,38574,69697,231584
MB1151,239380,52740,8262974,4496,73019,73706,4918293,5667,7060,831263,52342,797,1432992,29536,45853,124166,12209,7878,173222,2407848,233789,50118,317376,238862,33081,86216,130536
MB1152,172062,51499,9076138,5716,52063,99654,5267212,6301,7107,1163242,89627,1222,2776848,11831,68009,95724,17307,16496,221096,1575572,172950,47269,168958,207595,45939,77164,235980
MB1153,250071,51287,8804073,3864,129154,67154,4567967,10158,6661,1048925,78108,903,1539592,36168,71027,90769,14757,7810,168934,2221406,137209,72399,204146,138868,18963,66385,152525
MB1154,248034,50896,5673298,3279,32993,65506,3382556,8736,6847,633351,47263,948,1110492,7369,51274,72990,10384,5444,119270,1220561,134312,34180,123002,134844,30829,49728,139219
