batch,ID,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
6,407813-013,437381,123148,19709814,172,130699,205158,11470157,10296,16451,1755748,141508,4645,4460561,26176,142860,221241,16984,17656,243913,3049200,246042,120123,193407,245302,55823,78780,529902
6,407813-014,544742,107221,19552362,126,157574,180033,10064068,11995,6041,2055649,149892,3850,4436391,63956,278205,462043,15152,16290,271968,2602623,498577,181042,180021,357887,50014,114411,386073
6,407813-015,303029,78728,16654842,904,44039,151164,10196696,8636,7998,2471488,77597,2173,5550378,29781,61773,511869,39322,18640,150443,2470151,688750,79528,176465,524555,29006,101610,277140
6,407813-016,560279,149960,15352093,2396,143752,141759,8365651,6470,9452,1458635,122791,4290,2985017,30207,138757,285837,20292,14385,195829,2477907,285100,92414,134471,265262,54813,102000,321078
6,407813-017,379646,102550,19024796,3767,118311,151157,10390293,14880,10722,1813004,148221,3876,4463010,7126,121395,319208,16532,15768,137168,2431950,378981,71956,193004,323889,62641,73104,308102
6,407813-018,301276,65235,12617825,2608,115169,101697,6476632,6865,5871,1258106,95918,2995,2636690,22908,86697,184628,10524,10137,202591,2065605,216114,90763,168566,202915,36875,94287,247030
6,407813-019,386170,71036,19018509,2161,116030,132381,9818623,8336,7024,2179487,155117,2865,4198203,39816,160557,226677,17789,17195,219189,2664961,211667,74188,179377,163902,25824,111041,255225
6,407813-020,282070,83295,13335534,2963,74676,120439,7458774,9918,5262,1242617,112431,2887,3061243,15125,102820,171117,12533,11616,157039,2044533,204696,96864,152984,184006,34241,103650,280573
6,407813-021,415223,119189,16182585,2025,94876,154088,9282666,10680,23136,1716809,104925,3055,3576395,31934,81864,179051,13983,10976,172629,3220131,221986,65588,217846,229630,47040,98331,324264
6,QC1,336524,83995,11789398,1758,88615,136035,6044230,4828,5073,1581880,119939,2251,3113389,25592,149647,100714,14816,10077,150776,1975746,146404,140572,133153,171520,53012,75668,295360
6,QC2,286084,75780,9498885,1364,57863,107789,4916789,2742,5413,1366507,103128,3605,2846335,16927,88298,56418,12590,9016,151804,1672139,77388,124264,117831,120822,38654,71938,227066
6,407813-022,310785,89418,17003184,1297,109875,140320,8861146,12127,7253,1774984,145148,2928,4178999,21691,228412,198690,16319,13690,162968,2333587,218720,86340,206653,210932,47069,117463,297195
6,407813-023,210013,100475,12020671,15015,55859,219808,6112405,7650,3171,792797,94987,5269,2076188,5721,313895,191580,23235,7681,42727,1036040,178644,627525,23215,108863,68542,110210,464717
6,407813-024,258529,76957,13467398,3996,75379,131616,7826571,7059,4622,1214084,104251,3371,3263431,24166,102015,209050,12962,11373,147435,2603646,266772,136641,169629,248089,51430,124709,366107
6,407813-025,431166,133550,19372059,6495,144758,199108,9519393,7379,14450,2144956,192706,3313,4925185,50039,336388,290333,18735,18733,258934,3286660,352934,117453,295826,307784,58639,163448,331205
6,407813-026,446021,135635,18353095,14113,149306,217661,8247549,10660,2773,1547394,145463,3931,3149102,23898,440918,272493,34195,20702,143134,1664830,253477,589047,73691,162706,80784,194745,568450
6,QC1,378698,96578,12932752,2004,100725,151394,6571109,5624,5571,1726175,132239,2524,3409869,29003,170664,111621,16060,11710,171565,2179564,163597,161697,144548,181142,59704,88861,333571
6,QC2,264576,69611,8503929,77278,52718,99427,4366436,3175,5042,1225682,92905,5917,2596429,17108,85971,49055,11374,8511,143872,1542695,60804,120759,107516,83823,29557,89527,212454
